project,case,api,curl,request_body,response_body,expected_schema,checked_response_path,schema_check
fixture_project,analysis,POST /api/analysis,"curl -X POST http://127.0.0.1:8020/api/analysis -H 'Content-Type: application/json' -d '{""project"": ""fixture_project""}'","{""project"": ""fixture_project""}","{""analysis_handoff"": {}, ""api"": {""endpoint"": ""/fixture/search""}, ""application"": {""boundary"": ""condition extraction only""}, ""attribute_handoff"": {}, ""attribution_guidance"": ""Localize loss across request, response, extraction, and judge."", ""capabilities"": [""semantic_parse"", ""condition_extract""], ""documents"": {}, ""evaluation_guidance"": ""Judge condition semantic coverage."", ""frontend_build_handoff"": {}, ""judge_handoff"": {}, ""mock_guidance"": ""Build customer-search requests with explicit conditions."", ""project_id"": ""fixture_project"", ""quality_flags"": []}",impl.core.schema.project.ProjectAnalysis,[],pass
QA,analysis,POST /api/analysis,"curl -X POST http://127.0.0.1:8020/api/analysis -H 'Content-Type: application/json' -d '{""project"": ""QA""}'","{""project"": ""QA""}","{""analysis_handoff"": {}, ""api"": {""endpoint"": ""/fixture/search""}, ""application"": {""boundary"": ""condition extraction only""}, ""attribute_handoff"": {}, ""attribution_guidance"": ""Localize loss across request, response, extraction, and judge."", ""capabilities"": [""semantic_parse"", ""condition_extract""], ""documents"": {}, ""evaluation_guidance"": ""Judge condition semantic coverage."", ""frontend_build_handoff"": {}, ""judge_handoff"": {}, ""mock_guidance"": ""Build customer-search requests with explicit conditions."", ""project_id"": ""fixture_project"", ""quality_flags"": []}",impl.core.schema.project.ProjectAnalysis,[],pass
client_search,analysis,POST /api/analysis,"curl -X POST http://127.0.0.1:8020/api/analysis -H 'Content-Type: application/json' -d '{""project"": ""client_search""}'","{""project"": ""client_search""}","{""analysis_handoff"": {}, ""api"": {""endpoint"": ""/fixture/search""}, ""application"": {""boundary"": ""condition extraction only""}, ""attribute_handoff"": {}, ""attribution_guidance"": ""Localize loss across request, response, extraction, and judge."", ""capabilities"": [""semantic_parse"", ""condition_extract""], ""documents"": {}, ""evaluation_guidance"": ""Judge condition semantic coverage."", ""frontend_build_handoff"": {}, ""judge_handoff"": {}, ""mock_guidance"": ""Build customer-search requests with explicit conditions."", ""project_id"": ""fixture_project"", ""quality_flags"": []}",impl.core.schema.project.ProjectAnalysis,[],pass
marketting-planning,analysis,POST /api/analysis,"curl -X POST http://127.0.0.1:8020/api/analysis -H 'Content-Type: application/json' -d '{""project"": ""marketting-planning""}'","{""project"": ""marketting-planning""}","{""analysis_handoff"": {}, ""api"": {""endpoint"": ""/fixture/search""}, ""application"": {""boundary"": ""condition extraction only""}, ""attribute_handoff"": {}, ""attribution_guidance"": ""Localize loss across request, response, extraction, and judge."", ""capabilities"": [""semantic_parse"", ""condition_extract""], ""documents"": {}, ""evaluation_guidance"": ""Judge condition semantic coverage."", ""frontend_build_handoff"": {}, ""judge_handoff"": {}, ""mock_guidance"": ""Build customer-search requests with explicit conditions."", ""project_id"": ""fixture_project"", ""quality_flags"": []}",impl.core.schema.project.ProjectAnalysis,[],pass
marketting-planning-intent,analysis,POST /api/analysis,"curl -X POST http://127.0.0.1:8020/api/analysis -H 'Content-Type: application/json' -d '{""project"": ""marketting-planning-intent""}'","{""project"": ""marketting-planning-intent""}","{""analysis_handoff"": {}, ""api"": {""endpoint"": ""/fixture/search""}, ""application"": {""boundary"": ""condition extraction only""}, ""attribute_handoff"": {}, ""attribution_guidance"": ""Localize loss across request, response, extraction, and judge."", ""capabilities"": [""semantic_parse"", ""condition_extract""], ""documents"": {}, ""evaluation_guidance"": ""Judge condition semantic coverage."", ""frontend_build_handoff"": {}, ""judge_handoff"": {}, ""mock_guidance"": ""Build customer-search requests with explicit conditions."", ""project_id"": ""fixture_project"", ""quality_flags"": []}",impl.core.schema.project.ProjectAnalysis,[],pass
fixture_project,live_run,POST /api/live_run,"curl -X POST http://127.0.0.1:8020/api/live_run -H 'Content-Type: application/json' -d '{""input"": {""expected_intent"": ""搜索符合地域、年龄、资产条件的客户"", ""id"": ""fixture-case-001"", ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""metadata"": {}, ""reference"": {""conditions"": [{""field"": ""city"", ""op"": ""eq"", ""value"": ""上海""}, {""field"": ""age"", ""op"": ""between"", ""value"": [30, 40]}, {""field"": ""asset_level"", ""op"": ""eq"", ""value"": ""高净值""}]}, ""scenario"": ""schema-fixture-single-turn"", ""source"": ""fixture"", ""status"": ""completed""}, ""project"": ""fixture_project""}'","{""input"": {""expected_intent"": ""搜索符合地域、年龄、资产条件的客户"", ""id"": ""fixture-case-001"", ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""metadata"": {}, ""reference"": {""conditions"": [{""field"": ""city"", ""op"": ""eq"", ""value"": ""上海""}, {""field"": ""age"", ""op"": ""between"", ""value"": [30, 40]}, {""field"": ""asset_level"", ""op"": ""eq"", ""value"": ""高净值""}]}, ""scenario"": ""schema-fixture-single-turn"", ""source"": ""fixture"", ""status"": ""completed""}, ""project"": ""fixture_project""}","{""application_boundary"": {}, ""case_id"": ""fixture-case-001"", ""conversation_summary"": {}, ""conversation_transcript"": [], ""created_at"": ""2026-06-30T03:48:15.632782+00:00"", ""error"": ""unknown url type: '/fixture/search'"", ""evidence_refs"": [], ""execution_mode"": ""live"", ""execution_trace"": [{""error"": """", ""evidence"": ""normalized request built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.build_request"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""raw response captured"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""project.call"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""generic extracted_output built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.extract_output"", ""status"": ""succeeded"", ""timestamp"": """"}], ""extracted_output"": {}, ""fallbacks"": [], ""gate_decisions"": [], ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""interaction_mode"": ""single_turn"", ""live_result"": {""application_boundary"": {}, ""call_error"": ""unknown url type: '/fixture/search'"", ""call_status"": ""failed"", ""case_id"": ""fixture-case-001"", ""evidence_refs"": [], ""execution_trace"": [{""error"": """", ""evidence"": ""normalized request built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.build_request"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""raw response captured"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""project.call"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""generic extracted_output built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.extract_output"", ""status"": ""succeeded"", ""timestamp"": """"}], ""extracted_output"": {}, ""fallbacks"": [], ""interaction_mode"": ""single_turn"", ""multi_turn_state"": null, ""normalized_request"": {""query"": ""帮我找上海、年龄30到40岁的高净值客户""}, ""output_source"": ""provided_output"", ""project_fields"": {}, ""project_id"": ""fixture_project"", ""raw_input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""raw_response"": null, ""runtime_ms"": 0, ""session_id"": ""fixture-session-001""}, ""multi_turn_input"": null, ""normalized_request"": {""query"": ""帮我找上海、年龄30到40岁的高净值客户""}, ""output_source"": ""provided_output"", ""project_fields"": {}, ""project_id"": ""fixture_project"", ""raw_response"": null, ""reference_contract"": {}, ""runtime_logs"": [""business service call failed""], ""scenario"": ""schema-fixture-single-turn"", ""session_id"": ""fixture-session-001"", ""state_history"": [], ""status"": ""error"", ""stop_reason"": """", ""trace_id"": ""507a5da4-1291-4dc9-82d1-23895061a38b"", ""transition_decisions"": [], ""turn_index"": 0}",impl.core.schema.trace.RunTrace,[],pass
QA,live_run,POST /api/live_run,"curl -X POST http://127.0.0.1:8020/api/live_run -H 'Content-Type: application/json' -d '{""input"": {""expected_intent"": ""搜索符合地域、年龄、资产条件的客户"", ""id"": ""fixture-case-001"", ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""metadata"": {}, ""reference"": {""conditions"": [{""field"": ""city"", ""op"": ""eq"", ""value"": ""上海""}, {""field"": ""age"", ""op"": ""between"", ""value"": [30, 40]}, {""field"": ""asset_level"", ""op"": ""eq"", ""value"": ""高净值""}]}, ""scenario"": ""schema-fixture-single-turn"", ""source"": ""fixture"", ""status"": ""completed""}, ""project"": ""QA""}'","{""input"": {""expected_intent"": ""搜索符合地域、年龄、资产条件的客户"", ""id"": ""fixture-case-001"", ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""metadata"": {}, ""reference"": {""conditions"": [{""field"": ""city"", ""op"": ""eq"", ""value"": ""上海""}, {""field"": ""age"", ""op"": ""between"", ""value"": [30, 40]}, {""field"": ""asset_level"", ""op"": ""eq"", ""value"": ""高净值""}]}, ""scenario"": ""schema-fixture-single-turn"", ""source"": ""fixture"", ""status"": ""completed""}, ""project"": ""QA""}","{""application_boundary"": {}, ""case_id"": ""fixture-case-001"", ""conversation_summary"": {}, ""conversation_transcript"": [], ""created_at"": ""2026-06-30T03:48:15.661418+00:00"", ""error"": ""unknown url type: '/fixture/search'"", ""evidence_refs"": [], ""execution_mode"": ""live"", ""execution_trace"": [{""error"": """", ""evidence"": ""normalized request built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.build_request"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""raw response captured"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""project.call"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""generic extracted_output built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.extract_output"", ""status"": ""succeeded"", ""timestamp"": """"}], ""extracted_output"": {}, ""fallbacks"": [], ""gate_decisions"": [], ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""interaction_mode"": ""single_turn"", ""live_result"": {""application_boundary"": {}, ""call_error"": ""unknown url type: '/fixture/search'"", ""call_status"": ""failed"", ""case_id"": ""fixture-case-001"", ""evidence_refs"": [], ""execution_trace"": [{""error"": """", ""evidence"": ""normalized request built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.build_request"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""raw response captured"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""project.call"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""generic extracted_output built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.extract_output"", ""status"": ""succeeded"", ""timestamp"": """"}], ""extracted_output"": {}, ""fallbacks"": [], ""interaction_mode"": ""single_turn"", ""multi_turn_state"": null, ""normalized_request"": {""query"": ""帮我找上海、年龄30到40岁的高净值客户""}, ""output_source"": ""provided_output"", ""project_fields"": {}, ""project_id"": ""fixture_project"", ""raw_input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""raw_response"": null, ""runtime_ms"": 0, ""session_id"": ""fixture-session-001""}, ""multi_turn_input"": null, ""normalized_request"": {""query"": ""帮我找上海、年龄30到40岁的高净值客户""}, ""output_source"": ""provided_output"", ""project_fields"": {}, ""project_id"": ""fixture_project"", ""raw_response"": null, ""reference_contract"": {}, ""runtime_logs"": [""business service call failed""], ""scenario"": ""schema-fixture-single-turn"", ""session_id"": ""fixture-session-001"", ""state_history"": [], ""status"": ""error"", ""stop_reason"": """", ""trace_id"": ""b73637a6-515c-4eb2-a546-3f42cf768ce0"", ""transition_decisions"": [], ""turn_index"": 0}",impl.core.schema.trace.RunTrace,[],pass
client_search,live_run,POST /api/live_run,"curl -X POST http://127.0.0.1:8020/api/live_run -H 'Content-Type: application/json' -d '{""input"": {""expected_intent"": ""搜索符合地域、年龄、资产条件的客户"", ""id"": ""fixture-case-001"", ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""metadata"": {}, ""reference"": {""conditions"": [{""field"": ""city"", ""op"": ""eq"", ""value"": ""上海""}, {""field"": ""age"", ""op"": ""between"", ""value"": [30, 40]}, {""field"": ""asset_level"", ""op"": ""eq"", ""value"": ""高净值""}]}, ""scenario"": ""schema-fixture-single-turn"", ""source"": ""fixture"", ""status"": ""completed""}, ""project"": ""client_search""}'","{""input"": {""expected_intent"": ""搜索符合地域、年龄、资产条件的客户"", ""id"": ""fixture-case-001"", ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""metadata"": {}, ""reference"": {""conditions"": [{""field"": ""city"", ""op"": ""eq"", ""value"": ""上海""}, {""field"": ""age"", ""op"": ""between"", ""value"": [30, 40]}, {""field"": ""asset_level"", ""op"": ""eq"", ""value"": ""高净值""}]}, ""scenario"": ""schema-fixture-single-turn"", ""source"": ""fixture"", ""status"": ""completed""}, ""project"": ""client_search""}","{""application_boundary"": {}, ""case_id"": ""fixture-case-001"", ""conversation_summary"": {}, ""conversation_transcript"": [], ""created_at"": ""2026-06-30T03:48:15.663443+00:00"", ""error"": ""unknown url type: '/fixture/search'"", ""evidence_refs"": [], ""execution_mode"": ""live"", ""execution_trace"": [{""error"": """", ""evidence"": ""normalized request built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.build_request"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""raw response captured"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""project.call"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""generic extracted_output built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.extract_output"", ""status"": ""succeeded"", ""timestamp"": """"}], ""extracted_output"": {}, ""fallbacks"": [], ""gate_decisions"": [], ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""interaction_mode"": ""single_turn"", ""live_result"": {""application_boundary"": {}, ""call_error"": ""unknown url type: '/fixture/search'"", ""call_status"": ""failed"", ""case_id"": ""fixture-case-001"", ""evidence_refs"": [], ""execution_trace"": [{""error"": """", ""evidence"": ""normalized request built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.build_request"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""raw response captured"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""project.call"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""generic extracted_output built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.extract_output"", ""status"": ""succeeded"", ""timestamp"": """"}], ""extracted_output"": {}, ""fallbacks"": [], ""interaction_mode"": ""single_turn"", ""multi_turn_state"": null, ""normalized_request"": {""query"": ""帮我找上海、年龄30到40岁的高净值客户""}, ""output_source"": ""provided_output"", ""project_fields"": {}, ""project_id"": ""fixture_project"", ""raw_input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""raw_response"": null, ""runtime_ms"": 0, ""session_id"": ""fixture-session-001""}, ""multi_turn_input"": null, ""normalized_request"": {""query"": ""帮我找上海、年龄30到40岁的高净值客户""}, ""output_source"": ""provided_output"", ""project_fields"": {}, ""project_id"": ""fixture_project"", ""raw_response"": null, ""reference_contract"": {}, ""runtime_logs"": [""business service call failed""], ""scenario"": ""schema-fixture-single-turn"", ""session_id"": ""fixture-session-001"", ""state_history"": [], ""status"": ""error"", ""stop_reason"": """", ""trace_id"": ""d70c5565-cde7-49dc-a94d-1ceb931ad24b"", ""transition_decisions"": [], ""turn_index"": 0}",impl.core.schema.trace.RunTrace,[],pass
marketting-planning,live_run,POST /api/live_run,"curl -X POST http://127.0.0.1:8020/api/live_run -H 'Content-Type: application/json' -d '{""input"": {""expected_intent"": ""搜索符合地域、年龄、资产条件的客户"", ""id"": ""fixture-case-001"", ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""metadata"": {}, ""reference"": {""conditions"": [{""field"": ""city"", ""op"": ""eq"", ""value"": ""上海""}, {""field"": ""age"", ""op"": ""between"", ""value"": [30, 40]}, {""field"": ""asset_level"", ""op"": ""eq"", ""value"": ""高净值""}]}, ""scenario"": ""schema-fixture-single-turn"", ""source"": ""fixture"", ""status"": ""completed""}, ""project"": ""marketting-planning""}'","{""input"": {""expected_intent"": ""搜索符合地域、年龄、资产条件的客户"", ""id"": ""fixture-case-001"", ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""metadata"": {}, ""reference"": {""conditions"": [{""field"": ""city"", ""op"": ""eq"", ""value"": ""上海""}, {""field"": ""age"", ""op"": ""between"", ""value"": [30, 40]}, {""field"": ""asset_level"", ""op"": ""eq"", ""value"": ""高净值""}]}, ""scenario"": ""schema-fixture-single-turn"", ""source"": ""fixture"", ""status"": ""completed""}, ""project"": ""marketting-planning""}","{""application_boundary"": {}, ""case_id"": ""fixture-case-001"", ""conversation_summary"": {}, ""conversation_transcript"": [], ""created_at"": ""2026-06-30T03:48:15.665136+00:00"", ""error"": ""unknown url type: '/fixture/search'"", ""evidence_refs"": [], ""execution_mode"": ""live"", ""execution_trace"": [{""error"": """", ""evidence"": ""normalized request built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.build_request"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""raw response captured"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""project.call"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""generic extracted_output built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.extract_output"", ""status"": ""succeeded"", ""timestamp"": """"}], ""extracted_output"": {}, ""fallbacks"": [], ""gate_decisions"": [], ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""interaction_mode"": ""single_turn"", ""live_result"": {""application_boundary"": {}, ""call_error"": ""unknown url type: '/fixture/search'"", ""call_status"": ""failed"", ""case_id"": ""fixture-case-001"", ""evidence_refs"": [], ""execution_trace"": [{""error"": """", ""evidence"": ""normalized request built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.build_request"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""raw response captured"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""project.call"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""generic extracted_output built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.extract_output"", ""status"": ""succeeded"", ""timestamp"": """"}], ""extracted_output"": {}, ""fallbacks"": [], ""interaction_mode"": ""single_turn"", ""multi_turn_state"": null, ""normalized_request"": {""query"": ""帮我找上海、年龄30到40岁的高净值客户""}, ""output_source"": ""provided_output"", ""project_fields"": {}, ""project_id"": ""fixture_project"", ""raw_input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""raw_response"": null, ""runtime_ms"": 0, ""session_id"": ""fixture-session-001""}, ""multi_turn_input"": null, ""normalized_request"": {""query"": ""帮我找上海、年龄30到40岁的高净值客户""}, ""output_source"": ""provided_output"", ""project_fields"": {}, ""project_id"": ""fixture_project"", ""raw_response"": null, ""reference_contract"": {}, ""runtime_logs"": [""business service call failed""], ""scenario"": ""schema-fixture-single-turn"", ""session_id"": ""fixture-session-001"", ""state_history"": [], ""status"": ""error"", ""stop_reason"": """", ""trace_id"": ""896a78dc-df18-496c-89d9-140f9d1a538e"", ""transition_decisions"": [], ""turn_index"": 0}",impl.core.schema.trace.RunTrace,[],pass
marketting-planning-intent,live_run,POST /api/live_run,"curl -X POST http://127.0.0.1:8020/api/live_run -H 'Content-Type: application/json' -d '{""input"": {""expected_intent"": ""搜索符合地域、年龄、资产条件的客户"", ""id"": ""fixture-case-001"", ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""metadata"": {}, ""reference"": {""conditions"": [{""field"": ""city"", ""op"": ""eq"", ""value"": ""上海""}, {""field"": ""age"", ""op"": ""between"", ""value"": [30, 40]}, {""field"": ""asset_level"", ""op"": ""eq"", ""value"": ""高净值""}]}, ""scenario"": ""schema-fixture-single-turn"", ""source"": ""fixture"", ""status"": ""completed""}, ""project"": ""marketting-planning-intent""}'","{""input"": {""expected_intent"": ""搜索符合地域、年龄、资产条件的客户"", ""id"": ""fixture-case-001"", ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""metadata"": {}, ""reference"": {""conditions"": [{""field"": ""city"", ""op"": ""eq"", ""value"": ""上海""}, {""field"": ""age"", ""op"": ""between"", ""value"": [30, 40]}, {""field"": ""asset_level"", ""op"": ""eq"", ""value"": ""高净值""}]}, ""scenario"": ""schema-fixture-single-turn"", ""source"": ""fixture"", ""status"": ""completed""}, ""project"": ""marketting-planning-intent""}","{""application_boundary"": {}, ""case_id"": ""fixture-case-001"", ""conversation_summary"": {}, ""conversation_transcript"": [], ""created_at"": ""2026-06-30T03:48:15.666872+00:00"", ""error"": ""unknown url type: '/fixture/search'"", ""evidence_refs"": [], ""execution_mode"": ""live"", ""execution_trace"": [{""error"": """", ""evidence"": ""normalized request built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.build_request"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""raw response captured"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""project.call"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""generic extracted_output built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.extract_output"", ""status"": ""succeeded"", ""timestamp"": """"}], ""extracted_output"": {}, ""fallbacks"": [], ""gate_decisions"": [], ""input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""interaction_mode"": ""single_turn"", ""live_result"": {""application_boundary"": {}, ""call_error"": ""unknown url type: '/fixture/search'"", ""call_status"": ""failed"", ""case_id"": ""fixture-case-001"", ""evidence_refs"": [], ""execution_trace"": [{""error"": """", ""evidence"": ""normalized request built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.build_request"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""raw response captured"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""project.call"", ""status"": ""succeeded"", ""timestamp"": """"}, {""error"": """", ""evidence"": ""generic extracted_output built"", ""inputs"": {}, ""metadata"": {}, ""outputs"": {}, ""stage"": ""adapter.extract_output"", ""status"": ""succeeded"", ""timestamp"": """"}], ""extracted_output"": {}, ""fallbacks"": [], ""interaction_mode"": ""single_turn"", ""multi_turn_state"": null, ""normalized_request"": {""query"": ""帮我找上海、年龄30到40岁的高净值客户""}, ""output_source"": ""provided_output"", ""project_fields"": {}, ""project_id"": ""fixture_project"", ""raw_input"": {""case_id"": ""fixture-case-001"", ""query"": ""帮我找上海、年龄30到40岁的高净值客户"", ""scenario"": ""schema-fixture-single-turn""}, ""raw_response"": null, ""runtime_ms"": 0, ""session_id"": ""fixture-session-001""}, ""multi_turn_input"": null, ""normalized_request"": {""query"": ""帮我找上海、年龄30到40岁的高净值客户""}, ""output_source"": ""provided_output"", ""project_fields"": {}, ""project_id"": ""fixture_project"", ""raw_response"": null, ""reference_contract"": {}, ""runtime_logs"": [""business service call failed""], ""scenario"": ""schema-fixture-single-turn"", ""session_id"": ""fixture-session-001"", ""state_history"": [], ""status"": ""error"", ""stop_reason"": """", ""trace_id"": ""2acc13fe-e81b-4206-9a8f-1d2f34be6fdc"", ""transition_decisions"": [], ""turn_index"": 0}",impl.core.schema.trace.RunTrace,[],pass
